SMILES,logP
CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)CC(C)(CC(=O)O)O)O,-6.6
C[N+](C)(C)CC(CC(=O)O)O,-0.8
C1=CC(=C(C(=C1)O)N)C(=O)O,0.9
CC(CO)C(=O)O,-0.4
CC(CO)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O,-5.8
C1=CC(=C(C(=C1)O)N)C(=O)CC(C(=O)O)N,-2.5
CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)CC(CCC(=O)O)O)O,-6.5
C1=CC(=CC(=C1)O)CCC(=O)O,1.4
COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4(C=C)O)O,1.8
C(CC(=O)O)C(=O)CC(=O)O,-0.9
CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)CC(=O)CCC(=O)O)O,-6.4
C(C(C(C(=O)C(C(=O)O)O)O)O)O,-2.8
CC(=O)CC(=O)O,-0.4
C(C1C(C(C(C(O1)O)O)O)OC2C(C(=O)C(C(O2)CO)O)O)O,-4.3
C(C(=O)C(=O)O)S,0.0
CC(=CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)C,-4.2
CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1=C(C=CC(=C1)C(=O)O)O)C)C)C)C)C)C)C)C,16.0
C1=CC(=CC(=C1)O)C=O,1.4
C1=CC(=CC(=C1)O)CO,0.5
CC(CCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)C4CCC5C4(C(CC6C5C(CC7C6(CCC(=O)C7)C)O)O)C,-2.3
C1C=C(OC1=O)CC(=O)O,-0.3
C(C(=O)C(=O)O)OP(=O)(O)O,-2.1
C(C(C(=O)O)N)OP(=O)(O)O,-5.1
C1=CC=C(C=C1)CCC(=O)O,1.8
C1=CC(=CN=C1)CC(=O)O,-0.1
C(C(C(=O)O)N)S(=O)O,-4.2
C(C(=O)C(=O)O)S(=O)O,-1.0
C(CNC(=O)N)C(=O)O,-1.5
C(C(C(=O)C(=O)[O-])O)OP(=O)(O)O,-2.1
C(C(C(=O)C(=O)O)O)OP(=O)(O)O,-2.7
C1=CC(=CN=C1)CCCC(=O)O,0.6
C1C(C(C(C(O1)OP(=O)(O)O)O)O)N,-6.2
C=C(C(=O)O)OC1C=C(C=CC1N)C(=O)O,-2.3
C1=NC(=C(N1)C(=O)O)N,0.1
C(CC=O)CN,-0.9
