SMILES,logP
[O-]S(=O)(=S)[O-],0.2
OS(=O)(=O)S,-0.4
C(CCNC(CCC(=O)O)C(=O)O)CC(C(=O)O)N,-5.5
CNCC(=O)O,-2.8
C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OC(=O)C(CO)N)O)O)N,-6.8
C1C(C(C(C=C1C(=O)O)O)O)O,-1.7
C1C(C(C(C=C1C(=O)O)OP(=O)(O)O)O)O,-2.8
CC1(C(C2=CC3=NC(=CC4C(C(=C(N4)C=C5C(C(C(N5)C=C1N2)CCC(=O)O)CC(=O)O)CCC(=O)O)CC(=O)O)C(C3CCC(=O)O)(C)CC(=O)O)CCC(=O)O)CC(=O)O,-0.7
CC1(C(C2=CC3=NC(=CC4=NC(CC5=NC(=C(C5CCC(=O)O)CC(=O)O)C=C1N2)C(=C4CC(=O)O)CCC(=O)O)C(C3(C)CC(=O)O)CCC(=O)O)CCC(=O)O)CC(=O)O,-2.5
[O-]S(=O)[O-],-1.6
OS(=O)O,-0.5
C(C(C(C(C(=O)CO)O)O)O)O,-3.2
C(CCNCCCN)CN,-1.0
C(CCNCCCN)CNCCCN,-1.1
CCCCCCCCCCCCCC=CC(C(CO)N)O,5.3
CC(=CCCC(=CCCC(=CCCC=C(C)CCC=C(C)CCC=C(C)C)C)C)C,11.6
CCCCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O,2.8
C1CC2CCC3C4CCC(CC4CCC3C2C1)O,5.1
C1CCC2C(C1)CCC3C2CCC4C3CCC4,6.8
C1CS1(=O)O,-0.4
C(CC(=O)O)C(=O)O,-0.6
CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)CCC(=O)O)O,-6.2
C(CC(=O)O)C=O,-0.8
CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCOP(=O)(O)OP(=O)(O)OC(CCC(=O)O)O,-1.3
C1C=CC(=C(C1O)C(=O)O)C(=O)CCC(=O)O,-0.3
C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)CO)O)O)O)O,-3.7
C(C1C(C(C(C(O1)OC2(C(C(C(O2)COP(=O)(O)O)O)O)CO)O)O)O)O,-5.3
[O-]S(=O)(=O)[O-],-1.5
OS(=O)(=O)O,-1.4
O=S=O,0.1
CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCOP(=O)(O)OP(=O)(O)O)C)C)C)C)C)C)C)C)C)C,15.6
CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCOP(=O)(O)OP(=O)(O)O)C)C)C)C)C)C)C)C)C)C)C,17.4
C(=O)C(C(=O)O)O,-1.1
C(CS(=O)(=O)O)N,-4.1
CC1=CN(C(=O)NC1=O)C2CC(C(O2)COP(=O)(O)OP(=O)(O)O)O,-3.9
CC(C(C1CNC2=C(N1)C(=O)N=C(N2)N)O)O,-1.9
CCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O,0.6
C1CCSC1,1.4
C1CCS(=O)C1,-0.3
C1C(NC2=C(N1)NC(=NC2=O)N)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,-0.6
CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO,1.0
CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCOP(=O)(O)O,-0.1
CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCOP(=O)(O)OP(=O)(O)O,-1.2
C(C(=O)O)S,0.1
CC1=CN(C(=O)NC1=O)C2CC(C(O2)CO)O,-1.2
CC1=CNC(=O)NC1=O,-0.6
CC1=C(SC=N1)CCO,0.8
CC1=C(SC=N1)CCOP(=O)(O)O,-0.3
CC=C(C)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O,-4.4
CC1=CN(C(=O)NC1=O)C2CC(C(O2)COP(=O)(O)O)O,-2.8
CC1=CC=CC=C1,2.7
CC1=CC=CC(C1O)O,-0.1
CC(=CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)CC(=O)O,-5.1
C(C1C(C(C(C(O1)OC2C(C(C(C(O2)CO)O)O)O)O)O)O)O,-4.2
C(C1C(C(C(C(O1)OC2C(C(C(C(O2)COP(=O)(O)O)O)O)O)O)O)O)O,-5.8
C[N+](C)(C)[O-],-0.3
CN(C)C,0.3
C[S+](C)C,0.9
C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N,-1.1
C(CCNC(=O)CNC(=O)C(CS)NC(=O)CCC(C(=O)O)N)CNCCCNC(=O)CNC(=O)C(CS)NC(=O)CCC(C(=O)O)N,-9.1
C1=CC=C2C(=C1)C(=CN2)CCN,1.6
CC1=CN(C(=O)NC1=O)C2CC(C(O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O,-5.0
C1=CC(=CC=C1CC(C(=O)O)N)O,-2.3
CC1=C(C(C(=C(C1O)OC)OC)O)CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C,17.4
CC1=C(C(C(=C(C1O)OC)OC)O)CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C,13.7
CC1=C(C(=O)C(=C(C1=O)OC)OC)CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C,19.4
CC1=C(C(=O)C(=C(C1=O)OC)OC)CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C,15.7
C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)O)O)O,-4.7
C1NC(C(C(O1)COP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=CC(=O)NC3=O)O)O)O)O,-8.2
CC(C(=O)NC(CCC(=O)O)C(=O)O)NC(=O)C(C)OC1C(C(OC(C1O)CO)OP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=CC(=O)NC3=O)O)O)NC(=O)C,-7.1
CC(C(=O)NC(CCC(=O)NC(CCCC(C(=O)O)N)C(=O)O)C(=O)O)NC(=O)C(C)OC1C(C(OC(C1O)CO)OP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=CC(=O)NC3=O)O)O)NC(=O)C,-10.3
CC(=O)NC1C(C(C(OC1OP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=CC(=O)NC3=O)O)O)CO)O)OC(=C)C(=O)O,-5.6
CC(C(=O)O)NC(=O)C(C)OC1C(C(OC(C1O)CO)OP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=CC(=O)NC3=O)O)O)NC(=O)C,-6.4
C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OC3C(C(C(O3)C(CO)O)O)O)O)O,-6.6
C1C(C(C(C(O1)OP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=CC(=O)NC3=O)O)O)O)O)O,-6.6
C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OC3C(C(C(C(O3)CO)O)O)O)O)O,-6.3
CC(=O)NC1C(C(C(OC1OP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=CC(=O)NC3=O)O)O)CO)O)O,-6.6
CC(=O)NC1C(C(C(OC1OP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=CC(=O)NC3=O)O)O)C(=O)O)O)O,-6.4
CC(C(=O)O)OC1C(C(OC(C1O)CO)OP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=CC(=O)NC3=O)O)O)NC(=O)C,-6.1
CCCCCCCCCCCC(CC(=O)OC1C(C(OC(C1O)CO)OP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=CC(=O)NC3=O)O)O)NC(=O)C)O,-1.2
CCCCCCCCCCCC(CC(=O)OC1C(C(OC(C1O)CO)OP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=CC(=O)NC3=O)O)O)N)O,-3.7
C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)O)O)O,-3.6
CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCOP(=O)(O)O)C)C)C)C)C)C)C)C)C)C)C,18.5
C1=CNC(=O)NC1=O,-1.1
C12=C(NC(=O)N1)NC(=O)NC2=O,-1.9
C(=O)(N)N,-1.4
C1=CN(C(=O)NC1=O)C2C(C(C(O2)CO)O)O,-2.0
C1=C(NC=N1)C=CC(=O)O,0.0
C1C2=C(C(=C(N2)CC3=C(C(=C(N3)CC4=C(C(=C(N4)CC5=C(C(=C1N5)CCC(=O)O)CC(=O)O)CC(=O)O)CCC(=O)O)CC(=O)O)CCC(=O)O)CC(=O)O)CCC(=O)O,0.0
C1=C2C(C(=C(N2)C=C3C(=C(C(=N3)C=C4C(C(C(=N4)C=C5C(=C(C1=N5)CC(=O)O)CCC(=O)O)CCC(=O)O)CC(=O)O)CC(=O)O)CCC(=O)O)CC(=O)O)CCC(=O)O,-3.2
C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O,-5.8
CC(C)C(C(=O)O)N,-2.3
COC1=C(C=CC(=C1)C=O)O,1.2
CC1=C(C(=O)C2=CC=CC=C2C1=O)CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C,16.4
OP(=O)[O-],-1.7
[O-]P(=O)OP(=O)[O-],-2.4
OP(=O)OP(=O)O,-2.2
C1=NC2=C(N1)C(=O)NC(=O)N2,-0.7
C1=NC2=C(N1C3C(C(C(O3)CO)O)O)NC(=O)NC2=O,-2.4
C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)O)O)O)NC(=O)NC2=O,-4.0
C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)NC(=O)NC2=O,-6.2
C(C(C(C(=O)COP(=O)(O)O)O)O)OP(=O)(O)O,-4.8
C(C(C(C(C(C(=O)COP(=O)(O)O)O)O)O)O)OP(=O)(O)O,-6.1
C1CCN=C(C1)C(=O)O,0.0
CC(=C)CCOP(=O)(O)OP(=O)(O)O,-0.9
C1CC(N=C1)C(=O)O,-0.5
C(CC(C(=O)O)N)CC(C(=O)O)NC(=O)CCC(=O)O,-3.9
C(C(C(C(=O)O)O)C(=O)O)C(=O)O,-1.8
CC1=CC=C(C=C1)S(=O)(=O)N(CC(=O)O)C2=CC(=CC=C2)Cl,3.2
C1=CC2=C3C(=C1)C=CC4=C3C(=CC5=C4C(C(C(=O)C5=O)O)SCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N)C=C2,-1.0
CCCC1=CC(=O)OC2=C1C3=C(C=CC(O3)(C)C)C4=C2C(C(C(O4)C)C)O,3.8
CCCCCC(C=CC1CC2CC(C2)C1CC=CCCCC(=O)O)O,5.5
C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,0.4
C1CC2C(CC1N2)C3=CN=C(C=C3)Cl,2.2
CC1CCCC(N1C)C=CC2C3CCCCC3CC4C2C(OC4=O)C,5.0
CC(CC1=CC=CC=C1)NC,2.1
CC12C3=CC=CC=C3CC(N1)C4=CC=CC=C24,2.8
CC1C2CC3=C(C1(CCN2)C)C=C(C=C3)O,1.3
C(C(C(=O)O)N)N1C(=O)NC(=O)O1,-3.9
C[NH+]1CCC2=CC(=C3C=C2C1CC4=CC=C(C=C4)OC5=C6C(CC7=CC(=C(C=C7)O)O3)[N+](CCC6=CC(=C5O)OC)(C)C)OC,6.0
CN1CCC2=CC(=C3C=C2C1CC4=CC=C(C=C4)OC5=C6C(CC7=CC(=C(C=C7)O)O3)[N+](CCC6=CC(=C5O)OC)(C)C)OC,6.0
CC(C1=CC=C(C=C1)C2=NNN=N2)(C(=O)O)N,-2.3
CC1CCCC2(C1(CCCC2)O)C,3.3
C1C(CC1(C(=O)O)N)C(=O)O,-3.5
CC(C1=C(C(=CC=C1)Cl)Cl)N,2.4
C(CC(C(=O)O)N)CP(=O)(O)O,-5.3
C1=CC(=CC(=C1)O)C(C(=O)O)N,-2.1
C1CNCC(C2=CC(=C(C(=C21)Cl)O)O)C3=CC=CC=C3,2.7
CCCN(CCC)C1CCC2=C(C1)C=C(C=C2)O,4.1
CCCN(CCC)C1CCC2=C(C1)C(=CC=C2)O,4.1
CC1=C(C(=O)NO1)CC(C(=O)O)N,-3.2
CC(C1=CC=C(C=C1)C(=O)O)(C(=O)O)N,-2.0
CCC12CCN(C(C1(C)C)CC3=C2C=C(C=C3)O)CC4(CC4)O,3.9
CC(C)(C)C1(CCN2CC3C4=CC=CC=C4CCC5=C3C(=CC=C5)C2C1)O,5.0
C=CCN1CCC2=C(C(=C(C=C2C(C1)C3=CC=CC=C3)O)O)Cl,3.9
C1CC(C(NC1)C(=O)O)C(=O)O,-2.8
CN1C(CCC1=O)C2=CC=CC=N2,0.3
C1CN(CC(N1)C(=O)O)CCCP(=O)(O)O,-6.8
CC(CC1=CC(=C(C=C1OC)I)OC)N,2.5
C1C(O1)(CCCCCCOC2=CC=C(C=C2)Cl)C(=O)[O-],4.2
C1C(O1)(CCCCCCOC2=CC=C(C=C2)Cl)C(=O)O,3.6
C1CN(C(=O)C1N)O,-1.5
C1=C(ONC1=O)C(C(=O)O)N,-3.9
CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C(=C2)OC)OC)OC,3.8
CC1C2CC3=C(C1(CCN2CC=C)C)C=C(C=C3)O,2.5
CC1=C(C(C(=C(N1)C)C(=O)OCCCN2CCC(CC2)(C3=CC=CC=C3)C4=CC=CC=C4)C5=CC(=CC=C5)[N+](=O)[O-])C(=O)OC,6.8
COC1=C(C=CC(=C1)C(CN)O)O,-0.9
CN1CCN(CC1)C2CC3=CC=CC=C3SC4=C2C=C(C=C4)Cl,4.3
CC1(CCC(CC1)C(C)(C)NC(=O)CBr)NCC(COC2=CC=CC3=C2C=CN3)O,3.4
CCCN(CCC1=CC=CC=C1)C2CCC3=C(C2)C=CC=C3O,5.2
C=CCN1CCC2=CC(=C(C=C2C(C1)C3=CC=CC=C3)O)O,3.6
C1CNCC(C2=CC(=C(C=C21)O)O)C3=CC=CC=C3,2.5
CN1CCC2=CC(=C(C=C2C(C1)C3=CC=CC=C3)O)Br,4.0
CCCC(C)C1(C(=O)NC(=NC1=O)S)CC,2.8
COC1=C(C=CC(=C1)C(C(=O)O)O)O,-0.2
COC1=C2C3=C(CC4C5(C3(CCN4CC6CC6)C(O2)C(=O)CC5)O)C=C1,2.2
CCCC1=CC(=O)OC2=C1C3=C(CCC(O3)(C)C)C4=C2C(C(C(O4)C)C)O,3.9
C[N+]1(CCC2=CC3=C(C=C2C1C4C5=C(C6=C(C=C5)OCO6)C(=O)O4)OCO3)C,2.6
C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)O,0.0
CC12CCN(C1N(C3=C2C=C(C=C3)O)C)C,0.8
CC1CCC2=C(CCCC2(C)C)C(C1=C)C3=C(C=CC(=C3)O)O,5.0
CC1CCC2=C(CCCC2(C)C)C3=C1COC4(C3=CC(=O)C=C4)O,2.1
CC=C1C2CC3=C(C1(CC(=C2)C)N)C=CC(=O)N3,0.0
CC1CCC(C(C1)O)C(C)C,3.0
COC1=C2C3=C(CC4C5C3(CCN4)C(O2)C(C=C5)O)C=C1,0.7
CC(=C)C1CCC(=CC1)C(=O)O,2.7
CCCN1CCCC2C1CC3=C(C2)NN=C3,2.3
C[N+]1(C2CC(CC1C3C2O3)OC(=O)C(CO)C4=CC=CC=C4)[O-],0.8
CC(C)CCN(CC(C1CC2=CC=C(C=C2)OCCCCCC(=O)NC(C(=O)N1)C(C)C)O)S(=O)(=O)C3=CC=C(C=C3)N,4.3
CCCCOC1=CC=C(C=C1)S(=O)(=O)N2CC(CC2C(=O)NO)NS(=O)(=O)C,0.5
C1=C(C2=C(N1)C(=O)N=CN2)C3C(C(C(N3)COP(=O)(O)O)O)O,-6.2
C1=CC=C(C=C1)CCC(CS)C(=O)N=C(C2=CC=C(S2)CN3C=NN=N3)C(=O)O,3.2
CN1C=C(N=C1C(=O)NC2=CN(C(=N2)C(=O)NC3=CN(C(=N3)C(=O)NCC[NH+](C)C)C)C)NC=O,-1.6
CN1C=C(N=C1C(=O)NC2=CN(C(=N2)C(=O)NC3=CN(C(=N3)C(=O)NCCN(C)C)C)C)NC=O,-1.6
C1CN2C3=CC=CC4=C3C=C(C=C4)OC5=C(C=CC(=C5)CN6C=NC=C6CNC1C2=O)C#N,2.8
C1CN2C3=CC=CC4=C3C=C(C=C4)OC5=C(C=CC(=C5)CN6C=NC=C6CCNC1C2=O)C#N,3.3
CC1(C(NC(S1)C(C(=O)NCC2=CC=CC=C2)NC(=O)CC3=CC=CC=C3)C(=O)O)C,0.1
CC(C)C(C1=NC=CN1)NC(=O)C(CC2=CC=CC=C2)CC(C(CC3=CC=CC=C3)NC(=O)OC(C)(C)C)O,5.0
CC(C)CC(C(=O)O)NC(=O)C(C(CC1=CC=C(C=C1)[N+](=O)[O-])N)O,-1.1
C1C(C1C(=O)O)C(C(=O)O)N,-3.4
CCC(C=O)C(CNS(=O)(=O)C1=CC=C(C=C1)C)C(=O)O,1.1
CCC(C=O)C(CNS(=O)(=O)C1=CC=C(C=C1)[N+](=O)[O-])C(=O)O,0.6
CCCCCCCCC=CC=CC(C)N,4.9
CC(C)C(C(=O)N1CCCC1C(=O)NC(CC(=O)NS(=O)(=O)C)C=O)NC(=O)C2=CC3=CC=CC=C3C=C2,1.6
CCC1C(N(C1=O)S(=O)(=O)C2=CC=C(C=C2)C)C(=O)O,1.5
CC(=O)NC1C(CC(OC1C(C(CO)O)O)P(=O)(O)O)O,-4.0
C1CN(CCC1CC2=CC=CC=C2)C(=O)C3=CC4C=C(C=CC4=N3)C(=[NH2+])N,2.4
C1CN(CCC1CC2=CC=CC=C2)C(=O)C3=CC4C=C(C=CC4=N3)C(=N)N,2.4
CC1CC(C2=C(S1(=O)=O)SC(=C2)S(=O)(=O)N)NC,0.0
C1=CC=C2C(=C1)NC(=N2)CC3=NC4=C(N3)C=C(C=C4)C(=[NH2+])N,2.0
C1=CC=C2C(=C1)NC(=N2)CC3=NC4=C(N3)C=C(C=C4)C(=N)N,2.0
C1C(C(=O)NC(=O)N1)I,-0.4
CCCOC(=O)C1=CSC2N1C(=O)C2C(C)OC(=O)C,1.3
CC1=CCCC(=CCCC(=CC2C(CC1)C(=C)C(=O)O2)C)C(=O)O,2.7
COC1=C(C=C(C=C1)CC2COC(=O)C2CC3=CC(=C(C=C3)OC)OC)OC,3.9
C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O,1.2
CC(C)C1C(=O)NC(CC2=CNC3=C2C(=CC=C3)N1C)CO,2.3
CC(C)CC(CC(=O)NO)C(=O)NC(CC1=CC=CC=C1)C(=O)NC,0.8
C1=CC(=CC=C1CC(=O)NCP(=O)O)I,0.5
CCNC1CN(S(=O)(=O)C2=C1C=C(S2)S(=O)(=O)N)CCOC,-0.6
C1=CC=C(C=C1)C(C(=O)O)O,0.6
CCCCCC=CCC=CCC=CCC=CCCCC(=O)NC(C)CO,5.8
CCC(COC1=CC=CC=C1)OP(=O)(C)Cl,2.8
C1CC(NC1)C(C2=CC=CC=C2)C3=CC=CC=C3,3.8
CNC1CN(S(=O)(=O)C2=C1C=C(S2)S(=O)(=O)N)C3=CC(=CC=C3)OC,0.7
C1=CC(=C(C=C1C(C(=O)O)N)O)C(=O)O,-1.0
CC(C)OC(=O)N1C(C(=NC2=C1C=C(C=C2)OC)S)CSC,3.0
C1=C(C(=O)NC(=O)N1CC(C(=O)O)N)F,-4.4
C1=C(C(=O)NC(=O)N1CC(C(=O)O)N)I,-3.7
CC(C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O,3.3
CC(C1=CC=CC=C1)(C(=O)O)O,1.0
CC(=CCCC(=CCCC(=CCSCC(C(=O)OC)N)C)C)C,5.1
C1CC(C2=C(C1)NC(=O)C=C2)NCCCCCCCCCCNC3CCCC4=C3C=CC(=O)N4,3.2
C1CC(C2=C(C1)NC(=O)C=C2)NCCCCCCCCCCCCNC3CCCC4=C3C=CC(=O)N4,4.3
CC(C(=O)NC(C)NC=O)NC(=O)OC(C)(C)C,0.5
COC(=O)CC(CCC1=CC=C(C=C1)C(=N)N)C2=CC(=CC=C2)C(=N)N,2.2
CN1CCC2=CC3=C(C=C2C1C4C5=C(C(=C(C=C5)OC)OC)C(=O)O4)OCO3,2.7
C1CC(CC1C(=O)O)(C(=O)O)N,-3.2
CN1CCC2=CC=CC=C2C1C3C4=C(C(=C(C=C4)OC)OC)C(=O)O3,2.9
C1=CN2C=NC3=C(C2=N1)N=CN3C4C(C(C(O4)COP(=O)(O)OP(=O)(O)O)O)O,-3.4
C1C(C(C(N1)C(CO)O)O)O,-2.3
CC(=O)NC(CC1=CC=CC=C1)C(=O)C(F)(F)F,2.4
C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(C(CCCC(F)(F)P(=O)(O)O)(F)F)O)O)O)N,-3.3
C[N+]1(CCN(CC1)C2=CC=CC=C2)C,1.6
C(CCCCCN)CCCCN,1.9
C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,1.8
C1C(C(C(C2=C1C3=C4C(=C2)C=CC5=C4C(=CC=C5)C=C3)O)O)O,3.0
C1=CC2=C(C=C1O)C(=O)C3=C(C2=O)C=CC(=C3O)O,2.4
CCCCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCCCC,7.5
CNNC,-0.4
CCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCC,5.4
CCCCCCCCC=CCCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCCC=CCCCCCCCC,14.3
CC1(CC(C(C(C1)OC(=O)C2=CC(=C(C(=C2)O)O)O)OC(=O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O)OC(=O)C5=CC(=C(C(=C5)O)O)O,3.1
CN1C=NC2=C1N(C(=O)N(C2=O)C)C,-0.1
CC(C)CC(C(=O)NCC(=O)CNC(=O)C(CC(C)C)NC(=O)OCC1=CC=CC=C1)NC(=O)OCC2=CC=CC=C2,4.6
CCN1C2=C(C(=O)N(C1=O)CC)NC(=N2)C3=CC=CC=C3,2.9
CCCN1C2=C(C(=O)N(C1=O)CCC)NC(=N2)C3CCCC3,4.0
CCCN1C2=C(C(=O)N(C1=O)CCC)NC(=N2)C3=CC=C(C=C3)S(=O)(=O)O,3.1
C1=CC(=CC(=C1)CCSC(=N)N)CCSC(=N)N,2.3
C1CCC2C(C1)C(C3CCCCC3[C+]2[OH2+])O,2.9
C1CCC2C(C1)C(C3CCCCC3C2=[OH+])O,2.8
C1=C(C2=C(N1)C(=O)N=C(N2)N)C3C(C(C(N3)CO)O)O,-2.9
C1C(C(C(N1)CO)O)O,-1.7
C1=C(C2=C(N1)C(=O)N=CN2)C3C(C(C(N3)CO)O)O,-2.3
C1=CC(=CC=C1CCSC(=N)N)CCSC(=N)N,2.3
C[N+](C)(CC=C)C1=CC=C(C=C1)CCC(=O)CCC2=CC=C(C=C2)[N+](C)(C)CC=C,4.8
CC(C)CC(C(=O)NNC(=O)NNC(=O)C(CC(C)C)NC(=O)OCC1=CC=CC=C1)NC(=O)OCC2=CC=CC=C2,4.3
C1=CC2=C(C=CNC2=O)C(=C1)O,1.0
CC(=O)OC1C(C2C(CCCC2(C3C1(OC(CC3=O)(C)C=C)C)C)(C)C)O,3.3
C1CN(CCN1)C2=CC=CC3=CC=CC=C32,2.6
C1=CN(C(=O)NC1=O)C2C3C(O3)C(O2)CO,-1.9
C1CCN(C1)CCN,0.1
CCC(C)N(C)C(=O)C1=CC2=CC=CC=C2C(=N1)C3=CC=CC=C3Cl,5.5
COC1=CC=CC=C1N2CCNCC2,1.4
C1=CC(=C(C=C1C=CC2=C(C=CC(=C2)O)O)C(=O)O)O,3.2
C1=CC=C(C=C1)C2=NN=C(C3=CC=CC=C32)NC4=CC(=CC=C4)Cl,5.3
C1=CC(=CC=C1CN2C=CN=C2S)O,1.7
C1C(=O)NC(=O)N(C1=O)C2C(C(C(O2)COP(=O)(O)O)O)O,-4.1
CCC(=O)C1=C(C(=C(C=C1)F)C2CC2NC(=O)NC3=NC=C(C=C3)Br)O,3.3
CC1CN(CCN1)S(=O)(=O)C2=CC=CC3=C2C=CN=C3,1.0
C1CC2C3=C(C=CC=C3NC(=O)NC4=CC=CC=N4)C(=O)N2C1,1.3
C1=CC(=CC(=C1)Cl)N=C(N)N=C(N)N,0.5
C1CN(CCN1)C2=CC(=CC=C2)Cl,1.7
CC(C)CC(C(=O)NNC(=O)NNC(=O)C1=CC(=CC=C1)OCC2=CC=CC=C2)NC(=O)OCC3=CC=CC=C3,4.5
CC(C)CC(C1=CC=CC(=C1)C2=CC=CC=C2)C(=O)NCC(CNS(=O)(=O)C3=CC=CC=N3)O,3.8
CCC(C)C(C(=O)NC(C(C)C)C(=O)N)NC(=O)C1CCCN1CC(C2CC3=CC=C(C=C3)OCCCC(=O)NC(C(=O)N2)CC(=O)N)O,0.5
C1=CC=C(C(=C1)C(F)(F)F)N2C=CN=C2,2.6
COC1=CC(=C(C=C1)OCCCCCCN2C=CN=C2)Cl,3.6
CC(C)CC(C(=O)NCC(CNS(=O)(=O)C1=CC=C(C=C1)OC2=CC=CC=C2)O)NC(=O)C3=CC=NC=C3,2.8
CC(C)CC(C(=O)NC1CN(CC1=O)C(=O)C(CC(C)C)NC(=O)OCC2=CC=CC=C2)NC(=O)OCC3=CC=CC=C3,4.7
CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)C,6.1
CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCC[N+](C)(C)C)OC(=O)C,6.2
CN1C2=C(N=C1C3=CC=C(C=C3)S(=O)(=O)O)N(C(=O)N(C2=O)CC=C)C,0.6
C1CCC(CC1)(C(=O)O)N,-1.9
C1=CC=C2C(=C1)N=NN2N,0.9
C1CC(CC(C1)(C(=O)O)N)C(=O)O,-2.8
C1=CC=C(C=C1)NC2=CC=CC3=C2C(=CC=C3)S(=O)(=O)O,3.5
C1CCN(CC1)C(=O)C2=CC3=C(C=C2)OCO3,2.0
COC1=CC=C(C=C1)S(=O)(=O)N2CN(C(=O)CC2C(=O)NO)CC3=CC=CC=C3,0.7
