0.90188056;0.4
0.68568426;-0.3
1.1556182;-0.3
0.5438758;-1.
-1.2122898;-5.
0.9863774;2.3
1.8363494;0.2
-1.1998525;-0.4
-2.4877493;-4.8
2.2236664;-1.2
1.7821914;1.5
-0.54655784;0.8
2.5895154;4.
3.322732;3.1
3.471817;3.7
2.1355093;0.6
1.0757399;-0.1
-1.0080137;-1.8
0.31537977;1.2
0.56354487;1.
0.10856099;-0.2
-0.67599344;-0.7
-1.2414564;-0.5
-2.2543273;-4.5
-2.3220258;-3.3
1.446557;-2.7
0.459935;-6.9
0.45670563;-0.3
-0.47157073;-3.7
-0.07909717;-0.3
-0.7527794;-3.3
0.6406131;1.
1.5481759;0.3
0.73237026;-0.1
1.0561136;0.3
-1.1281505;0.
-1.2450987;-2.3
0.68630123;-0.1
1.258892;0.6
-0.6601438;-1.6
0.96172565;-1.
-0.1037439;-0.4
-0.91690224;-1.
0.41707328;0.2
-0.77740234;-1.1
-1.2703079;-3.4
1.380994;1.1
-0.20240168;-1.5
1.1388909;0.7
-1.3026649;-2.9
-0.3466736;-0.9
-0.4723423;-5.4
-1.0432099;-5.2
-1.8952855;-4.2
9.281042;16.1
8.317634;15.8
10.910125;16.6
0.331586;0.1
-0.21510719;-2.6
-2.372529;-7.7
0.1633438;-3.7
2.4384394;1.9
-1.3874842;-3.5
2.2810364;0.6
1.8989071;2.7
2.2354271;3.1
0.74932593;-2.5
-0.20516549;-2.8
0.9381425;0.2
0.8739342;0.9
0.21570642;-0.5
0.33872914;1.1
-1.4524628;-4.6
-1.9076291;-5.8
0.43605527;-1.3
2.8060818;3.2
0.8458538;-0.2
-0.06184368;-2.8
1.2470537;0.2
1.0239711;-1.4
-1.3112596;-4.
0.05635339;-1.8
-1.5078807;-1.7
-2.643259;-6.6
0.7978288;-0.8
0.43364638;0.9
0.28187436;-0.4
-1.8952855;-5.8
-0.6031957;-2.5
-3.5946813;-6.5
1.4374698;1.4
4.223284;1.8
-0.3466736;-0.9
-1.815216;-6.4
-1.2836276;-2.8
0.23057553;-0.4
-0.5312905;-4.3
-0.8867176;0.
-2.0996861;-4.2
10.065006;16.
